node_id,degree,name,kind,longitude,latitude,terrain_elevation_m,terrain_source,radome_height_agl_m,target_altitude_m,coverage_radius_km,nearby_city_count,radius_status
airport:-38.53339162:-3.77634502,2,Aeroporto Internacional Pinto Martins,airport,-38.53339162251987,-3.776345016458535,19.0,Mapzen Terrain Tiles terrarium z8,15.0,3000.0,249.815,130,geometric_upper_bound_topographic_occlusion_pending
airport:-48.24350686:-7.23069115,0,Aeroporto de Araguaína,airport,-48.24350685735499,-7.230691145432528,235.0,Mapzen Terrain Tiles terrarium z8,15.0,3000.0,290.953,130,geometric_upper_bound_topographic_occlusion_pending
airport:-40.34824143:-2.90465283,0,Aeroporto de Jericoacoara,airport,-40.348241434664395,-2.90465283229252,26.0,Mapzen Terrain Tiles terrarium z8,15.0,3000.0,252.174,129,geometric_upper_bound_topographic_occlusion_pending
capital:2304400,2,Fortaleza,capital,-38.52522151593698,-3.722856534745978,26.0,Mapzen Terrain Tiles terrarium z8,15.0,3000.0,252.174,128,geometric_upper_bound_topographic_occlusion_pending
airport:-45.00002297:-12.07907000,0,Aeroporto Barreiras,airport,-45.000022968787576,-12.079069999280026,747.0,Mapzen Terrain Tiles terrarium z8,15.0,3000.0,339.564,124,geometric_upper_bound_topographic_occlusion_pending
airport:-42.80570775:-2.76008382,0,Aeródromo de Barreirinhas,airport,-42.80570775298327,-2.760083815558231,10.0,Mapzen Terrain Tiles terrarium z8,15.0,3000.0,246.39,120,geometric_upper_bound_topographic_occlusion_pending
airport:-41.72978929:-2.89485620,0,Aeroporto Internacional de Parnáiba  Prefeito Doutor João Silva Filho,airport,-41.72978929219793,-2.89485620328918,4.0,Mapzen Terrain Tiles terrarium z8,15.0,3000.0,243.748,119,geometric_upper_bound_topographic_occlusion_pending
airport:-54.11265076:-31.38803140,0,Aeroporto Comandante Gustavo Kraemer,airport,-54.11265076386022,-31.388031401923264,184.0,Mapzen Terrain Tiles terrarium z8,15.0,3000.0,283.927,114,geometric_upper_bound_topographic_occlusion_pending
airport:-39.08195234:-16.44071947,0,Aeroporto Porto Seguro,airport,-39.081952337082,-16.44071947338993,50.0,Mapzen Terrain Tiles terrarium z8,15.0,3000.0,259.012,110,geometric_upper_bound_topographic_occlusion_pending
airport:-47.45614366:-5.53182103,0,Aeroporto Prefeito Renato Moreira,airport,-47.45614366276173,-5.531821027147499,131.0,Mapzen Terrain Tiles terrarium z8,15.0,3000.0,275.585,104,geometric_upper_bound_topographic_occlusion_pending
capital:1721000,1,Palmas,capital,-48.324708728,-10.1939013589999,265.0,Mapzen Terrain Tiles terrarium z8,15.0,3000.0,294.753,97,geometric_upper_bound_topographic_occlusion_pending
airport:-52.33056762:-31.71593137,0,Aeroporto de Pelotas,airport,-52.33056761946964,-31.715931370282135,18.0,Mapzen Terrain Tiles terrarium z8,15.0,3000.0,249.459,96,geometric_upper_bound_topographic_occlusion_pending
airport:-48.35803836:-10.29547480,1,Aeroporto Brigadeiro Lysias Rodrigues,airport,-48.35803836328246,-10.2954747989671,229.0,Mapzen Terrain Tiles terrarium z8,15.0,3000.0,290.166,92,geometric_upper_bound_topographic_occlusion_pending
